[metadata]
title=GR testbench
""
[trace]
# ----------------------------------------------------
"# --GNU Radio FEC Testbench, based on AFF3CT library--"
# ----------------------------------------------------
# Parameters :
# * Simulation -------------------------------------
#    ** Type                   = GNU Radio
#    ** Type of bits           = int8
#    ** Type of reals          = float32
#    ** Type of quant. reals   = int8
#    ** Date (UTC)             = 2024-09-04 14-13-47
#    ** Git commit ID          = 
#    ** Code type (C)          = BCH
#    ** Noise range            = 0.0 -> 10.0 dB
#    ** Noise type             = EBN0
#    ** Bit rate               = 1.359043 (376/511)
# * Source ----------------------------------------
#    ** Type                   = Random
#    ** Implementation         = Numpy Generator
#    ** Info. bits (K_info)    = 376
# * Codec -----------------------------------------
#    ** Type                   = BCH
#    ** Info. bits (K_info)    = 376
#    ** Codeword size (N_cw)   = 511
#    ** Code rate              = 1.359043 (376/511)
# GNU Radio simulation is running...
# --------------------------------||----------------------------------------------------------||---------------------
#        Signal Noise Ratio       ||     Bit Error Rate (BER) and Frame Error Rate (FER)      ||  Global throughput
#              (SNR)              ||                                                          ||  and elapsed time
# --------------------------------||----------------------------------------------------------||---------------------
# ----------|----------|----------||------------|----------|----------|-----------|-----------||----------|----------
#     Sigma |    Es/N0 |    Eb/N0 ||        FRA |       BE |       FE |       BER |       FER ||  SIM_THR |    ET/RT
#           |     (dB) |     (dB) ||            |          |          |           |           ||   (Mb/s) | (hhmmss) 
# ----------|----------|----------||------------|----------|----------|-----------|-----------||----------|----------
     0.8243 |   -1.332 |    0.000 ||        128 |     6061 |      128 | 1.259e-01 | 1.000e+00 ||    0.193 | 00h00'00
     0.8149 |   -1.232 |    0.100 ||        128 |     5953 |      128 | 1.237e-01 | 1.000e+00 ||    0.190 | 00h00'00
     0.8056 |   -1.132 |    0.200 ||        128 |     5894 |      128 | 1.225e-01 | 1.000e+00 ||    0.191 | 00h00'00
     0.7963 |   -1.032 |    0.300 ||        128 |     5662 |      128 | 1.176e-01 | 1.000e+00 ||    0.189 | 00h00'00
     0.7872 |   -0.932 |    0.400 ||        128 |     5502 |      128 | 1.143e-01 | 1.000e+00 ||    0.192 | 00h00'00
     0.7782 |   -0.832 |    0.500 ||        128 |     5424 |      128 | 1.127e-01 | 1.000e+00 ||    0.187 | 00h00'00
     0.7693 |   -0.732 |    0.600 ||        128 |     5311 |      128 | 1.104e-01 | 1.000e+00 ||    0.193 | 00h00'00
     0.7605 |   -0.632 |    0.700 ||        128 |     5128 |      128 | 1.065e-01 | 1.000e+00 ||    0.187 | 00h00'00
     0.7518 |   -0.532 |    0.800 ||        128 |     5053 |      128 | 1.050e-01 | 1.000e+00 ||    0.189 | 00h00'00
     0.7432 |   -0.432 |    0.900 ||        128 |     4944 |      128 | 1.027e-01 | 1.000e+00 ||    0.189 | 00h00'00
     0.7347 |   -0.332 |    1.000 ||        128 |     4897 |      128 | 1.017e-01 | 1.000e+00 ||    0.192 | 00h00'00
     0.7263 |   -0.232 |    1.100 ||        128 |     4792 |      128 | 9.957e-02 | 1.000e+00 ||    0.188 | 00h00'00
     0.7180 |   -0.132 |    1.200 ||        128 |     4626 |      128 | 9.612e-02 | 1.000e+00 ||    0.189 | 00h00'00
     0.7097 |   -0.032 |    1.300 ||        128 |     4389 |      128 | 9.119e-02 | 1.000e+00 ||    0.187 | 00h00'00
     0.7016 |    0.068 |    1.400 ||        128 |     4422 |      128 | 9.188e-02 | 1.000e+00 ||    0.188 | 00h00'00
     0.6936 |    0.168 |    1.500 ||        128 |     4259 |      128 | 8.849e-02 | 1.000e+00 ||    0.189 | 00h00'00
     0.6856 |    0.268 |    1.600 ||        128 |     4171 |      128 | 8.666e-02 | 1.000e+00 ||    0.188 | 00h00'00
     0.6778 |    0.368 |    1.700 ||        128 |     4066 |      128 | 8.448e-02 | 1.000e+00 ||    0.188 | 00h00'00
     0.6700 |    0.468 |    1.800 ||        128 |     3891 |      128 | 8.085e-02 | 1.000e+00 ||    0.188 | 00h00'00
     0.6624 |    0.568 |    1.900 ||        128 |     3913 |      128 | 8.130e-02 | 1.000e+00 ||    0.188 | 00h00'00
     0.6548 |    0.668 |    2.000 ||        128 |     3804 |      128 | 7.904e-02 | 1.000e+00 ||    0.188 | 00h00'00
     0.6473 |    0.768 |    2.100 ||        128 |     3749 |      128 | 7.790e-02 | 1.000e+00 ||    0.188 | 00h00'00
     0.6399 |    0.868 |    2.200 ||        128 |     3551 |      128 | 7.378e-02 | 1.000e+00 ||    0.189 | 00h00'00
     0.6326 |    0.968 |    2.300 ||        128 |     3582 |      128 | 7.443e-02 | 1.000e+00 ||    0.187 | 00h00'00
     0.6253 |    1.068 |    2.400 ||        128 |     3481 |      128 | 7.233e-02 | 1.000e+00 ||    0.189 | 00h00'00
     0.6182 |    1.168 |    2.500 ||        128 |     3348 |      128 | 6.956e-02 | 1.000e+00 ||    0.188 | 00h00'00
     0.6111 |    1.268 |    2.600 ||        128 |     3206 |      128 | 6.661e-02 | 1.000e+00 ||    0.188 | 00h00'00
     0.6041 |    1.368 |    2.700 ||        128 |     3204 |      128 | 6.657e-02 | 1.000e+00 ||    0.188 | 00h00'00
     0.5972 |    1.468 |    2.800 ||        128 |     3095 |      128 | 6.431e-02 | 1.000e+00 ||    0.192 | 00h00'00
     0.5903 |    1.568 |    2.900 ||        128 |     3031 |      128 | 6.298e-02 | 1.000e+00 ||    0.188 | 00h00'00
     0.5836 |    1.668 |    3.000 ||        128 |     2885 |      128 | 5.994e-02 | 1.000e+00 ||    0.188 | 00h00'00
     0.5769 |    1.768 |    3.100 ||        128 |     2790 |      128 | 5.797e-02 | 1.000e+00 ||    0.188 | 00h00'00
     0.5703 |    1.868 |    3.200 ||        128 |     2780 |      126 | 5.776e-02 | 9.844e-01 ||    0.188 | 00h00'00
     0.5638 |    1.968 |    3.300 ||        128 |     2666 |      127 | 5.539e-02 | 9.922e-01 ||    0.188 | 00h00'00
     0.5573 |    2.068 |    3.400 ||        128 |     2633 |      128 | 5.471e-02 | 1.000e+00 ||    0.188 | 00h00'00
     0.5509 |    2.168 |    3.500 ||        128 |     2581 |      128 | 5.363e-02 | 1.000e+00 ||    0.188 | 00h00'00
     0.5446 |    2.268 |    3.600 ||        128 |     2384 |      122 | 4.953e-02 | 9.531e-01 ||    0.189 | 00h00'00
     0.5384 |    2.368 |    3.700 ||        128 |     2303 |      123 | 4.785e-02 | 9.609e-01 ||    0.188 | 00h00'00
