[metadata]
title=gr-fec Polar
[metadata]
"title=GR Polar (4096N,2048K)"
""
[trace]
# ----------------------------------------------------
"# --GNU Radio FEC Testbench, based on AFF3CT library--"
# ----------------------------------------------------
# Parameters :
# * Simulation -------------------------------------
#    ** Type                   = GNU Radio
#    ** Type of bits           = int8
#    ** Type of reals          = float32
#    ** Type of quant. reals   = int8
#    ** Date (UTC)             = 2024-09-05 14-56-20
#    ** Git commit ID          = 
#    ** Code type (C)          = Polar
#    ** Noise range            = 0.0 -> 3.2 dB
#    ** Noise type             = EBN0
#    ** Bit rate               = 0.500000 (2048/4096)
# * Source ----------------------------------------
#    ** Type                   = Random
#    ** Implementation         = Numpy Generator
#    ** Info. bits (K_info)    = 2048
# * Codec -----------------------------------------
#    ** Type                   = Polar
#    ** Info. bits (K_info)    = 2048
#    ** Codeword size (N_cw)   = 4096
#    ** Code rate              = 0.500000 (2048/4096)
# GNU Radio simulation is running...
# --------------------------------||----------------------------------------------------------||---------------------
#        Signal Noise Ratio       ||     Bit Error Rate (BER) and Frame Error Rate (FER)      ||  Global throughput
#              (SNR)              ||                                                          ||  and elapsed time
# --------------------------------||----------------------------------------------------------||---------------------
# ----------|----------|----------||------------|----------|----------|-----------|-----------||----------|----------
#     Sigma |    Es/N0 |    Eb/N0 ||        FRA |       BE |       FE |       BER |       FER ||  SIM_THR |    ET/RT
#           |     (dB) |     (dB) ||            |          |          |           |           ||   (Mb/s) | (hhmmss) 
# ----------|----------|----------||------------|----------|----------|-----------|-----------||----------|----------
     1.0000 |   -3.010 |    0.000 ||        128 |   130265 |      128 | 4.969e-01 | 1.000e+00 ||    0.026 | 00h00'10
     0.9886 |   -2.910 |    0.100 ||        128 |   129727 |      128 | 4.949e-01 | 1.000e+00 ||    0.026 | 00h00'10
     0.9772 |   -2.810 |    0.200 ||        128 |   130192 |      128 | 4.966e-01 | 1.000e+00 ||    0.024 | 00h00'10
     0.9661 |   -2.710 |    0.300 ||        128 |   130346 |      128 | 4.972e-01 | 1.000e+00 ||    0.025 | 00h00'10
     0.9550 |   -2.610 |    0.400 ||        128 |   130631 |      128 | 4.983e-01 | 1.000e+00 ||    0.025 | 00h00'10
     0.9441 |   -2.510 |    0.500 ||        128 |   130353 |      128 | 4.973e-01 | 1.000e+00 ||    0.025 | 00h00'10
     0.9333 |   -2.410 |    0.600 ||        128 |   130020 |      128 | 4.960e-01 | 1.000e+00 ||    0.026 | 00h00'10
     0.9226 |   -2.310 |    0.700 ||        128 |   130272 |      128 | 4.969e-01 | 1.000e+00 ||    0.026 | 00h00'10
     0.9120 |   -2.210 |    0.800 ||        128 |   130889 |      128 | 4.993e-01 | 1.000e+00 ||    0.026 | 00h00'10
     0.9016 |   -2.110 |    0.900 ||        128 |   130337 |      128 | 4.972e-01 | 1.000e+00 ||    0.024 | 00h00'10
     0.8913 |   -2.010 |    1.000 ||        128 |   130279 |      128 | 4.970e-01 | 1.000e+00 ||    0.026 | 00h00'10
     0.8810 |   -1.910 |    1.100 ||        128 |   129764 |      128 | 4.950e-01 | 1.000e+00 ||    0.026 | 00h00'09
     0.8710 |   -1.810 |    1.200 ||        128 |   130057 |      128 | 4.961e-01 | 1.000e+00 ||    0.025 | 00h00'10
