[metadata]
title=gr-fec_dev
""
[trace]
# ----------------------------------------------------
"# --GNU Radio FEC Testbench, based on AFF3CT library--"
# ----------------------------------------------------
# Parameters :
# * Simulation -------------------------------------
#    ** Type                   = GNU Radio
#    ** Type of bits           = int8
#    ** Type of reals          = float32
#    ** Type of quant. reals   = int8
#    ** Date (UTC)             = 2024-09-05 12-51-37
#    ** Git commit ID          = 
#    ** Code type (C)          = RA
#    ** Noise range            = 1.0 -> 8.0 dB
#    ** Noise type             = EBN0
#    ** Bit rate               = 0.333333 (1024/3072)
# * Source ----------------------------------------
#    ** Type                   = Random
#    ** Implementation         = Numpy Generator
#    ** Info. bits (K_info)    = 1024
# * Codec -----------------------------------------
#    ** Type                   = RA
#    ** Info. bits (K_info)    = 1024
#    ** Codeword size (N_cw)   = 3072
#    ** Code rate              = 0.333333 (1024/3072)
# GNU Radio simulation is running...
# --------------------------------||----------------------------------------------------------||---------------------
#        Signal Noise Ratio       ||     Bit Error Rate (BER) and Frame Error Rate (FER)      ||  Global throughput
#              (SNR)              ||                                                          ||  and elapsed time
# --------------------------------||----------------------------------------------------------||---------------------
# ----------|----------|----------||------------|----------|----------|-----------|-----------||----------|----------
#     Sigma |    Es/N0 |    Eb/N0 ||        FRA |       BE |       FE |       BER |       FER ||  SIM_THR |    ET/RT
#           |     (dB) |     (dB) ||            |          |          |           |           ||   (Mb/s) | (hhmmss) 
# ----------|----------|----------||------------|----------|----------|-----------|-----------||----------|----------
     1.0916 |   -3.771 |    1.000 ||        128 |     6442 |      122 | 4.915e-02 | 9.531e-01 ||    0.204 | 00h00'00
     1.0791 |   -3.671 |    1.100 ||        128 |     5257 |      119 | 4.011e-02 | 9.297e-01 ||    0.208 | 00h00'00
     1.0667 |   -3.571 |    1.200 ||        128 |     3770 |      114 | 2.876e-02 | 8.906e-01 ||    0.208 | 00h00'00
     1.0545 |   -3.471 |    1.300 ||        128 |     4052 |      109 | 3.091e-02 | 8.516e-01 ||    0.210 | 00h00'00
     1.0424 |   -3.371 |    1.400 ||        128 |     6002 |      101 | 4.579e-02 | 7.891e-01 ||    0.209 | 00h00'00
     1.0305 |   -3.271 |    1.500 ||        192 |    13020 |      136 | 6.622e-02 | 7.083e-01 ||    0.207 | 00h00'00
     1.0187 |   -3.171 |    1.600 ||        192 |    24412 |      148 | 1.242e-01 | 7.708e-01 ||    0.209 | 00h00'00
     1.0070 |   -3.071 |    1.700 ||        192 |    46699 |      139 | 2.375e-01 | 7.240e-01 ||    0.209 | 00h00'00
     0.9955 |   -2.971 |    1.800 ||        128 |    38612 |      101 | 2.946e-01 | 7.891e-01 ||    0.209 | 00h00'00
     0.9841 |   -2.871 |    1.900 ||        128 |    57448 |      109 | 4.383e-01 | 8.516e-01 ||    0.208 | 00h00'00
     0.9728 |   -2.771 |    2.000 ||        128 |    69447 |      116 | 5.298e-01 | 9.062e-01 ||    0.209 | 00h00'00
